YEAR,NCIC_AGENCY,FUNDED_NON_JAIL_SWORN_MALE,FUNDED_NON_JAIL_SWORN_FEMALE,FUNDED_NON_JAIL_SWORN_TOTAL,FUNDED_NON_JAIL_CIVIL_MALE,FUNDED_NON_JAIL_CIVIL_FEMALE,FUNDED_NON_JAIL_CIVIL_TOTAL,FUNDED_JAIL_SWORN_MALE,FUNDED_JAIL_SWORN_FEMALE,FUNDED_JAIL_SWORN_TOTAL,FUNDED_JAIL_CIVIL_MALE,FUNDED_JAIL_CIVIL_FEMALE,FUNDED_JAIL_CIVIL_TOTAL
1991,100,302,42,344,93,139,232,336,63,399,107,170,277
1991,101,89,5,94,4,31,35,0,0,0,4,4,8
1991,102,26,3,29,0,4,4,0,0,0,0,0,0
1991,103,162,20,182,31,69,100,0,0,0,12,10,22
1991,104,28,3,31,4,12,16,0,0,0,0,0,0
1991,105,183,14,197,21,55,76,1,0,1,8,7,15
1991,106,149,15,164,25,71,96,9,6,15,3,2,5
1991,107,58,4,62,6,50,56,0,0,0,0,0,0
1991,108,52,2,54,6,17,23,0,0,0,0,0,0
1991,109,610,55,665,114,187,301,6,0,6,72,30,102
1991,110,18,2,20,1,6,7,0,0,0,0,0,0
1991,111,60,5,65,4,26,30,0,0,0,0,0,0
1991,112,82,4,86,11,29,40,0,0,0,4,1,5
1991,113,59,4,63,8,29,37,0,0,0,0,0,0
1991,114,51,3,54,4,14,18,0,0,0,0,0,0
1991,115,12,0,12,0,4,4,0,0,0,0,0,0
1991,121,139,15,154,15,16,31,0,0,0,0,0,0
1991,122,13,0,13,187,50,237,0,0,0,0,0,0
1991,127,8,1,9,5,0,5,0,0,0,0,0,0
1991,197,50,13,63,12,16,28,0,0,0,0,0,0
1991,200,10,0,10,0,3,3,0,0,0,0,0,0
1991,300,37,0,37,0,4,4,0,0,0,0,0,0
1991,302,4,0,4,0,1,1,0,0,0,0,0,0
1991,303,8,1,9,0,2,2,0,0,0,0,0,0
1991,305,5,0,5,0,1,1,0,0,0,0,0,0
1991,400,79,1,80,4,24,28,2,1,3,41,19,60
1991,401,2,0,2,0,0,0,0,0,0,0,0,0
1991,402,57,5,62,5,35,40,0,0,0,0,0,0
1991,403,10,0,10,0,6,6,0,0,0,0,0,0
1991,404,24,1,25,4,8,12,0,0,0,0,0,0
1991,405,23,0,23,3,12,15,0,0,0,0,0,0
1991,497,9,1,10,2,2,4,0,0,0,0,0,0
1991,500,37,3,40,0,13,13,0,1,1,11,7,18
1991,501,7,1,8,1,0,1,0,0,0,0,0,0
1991,600,26,1,27,0,5,5,3,0,3,0,0,0
1991,601,8,1,9,0,1,1,0,0,0,0,0,0
1991,602,6,0,6,0,1,1,0,0,0,0,0,0
1991,700,313,44,357,52,139,191,225,42,267,47,86,133
1991,701,77,5,82,3,32,35,0,0,0,0,0,0
1991,702,14,0,14,3,0,3,0,0,0,0,0,0
1991,703,8,0,8,0,2,2,0,0,0,0,0,0
1991,704,136,11,147,10,49,59,0,0,0,0,0,0
1991,705,35,2,37,0,6,6,0,0,0,0,0,0
1991,706,14,3,17,1,3,4,0,0,0,0,0,0
1991,707,22,1,23,5,15,20,0,0,0,0,0,0
1991,708,69,1,70,3,14,17,0,0,0,0,0,0
1991,709,40,2,42,2,20,22,0,0,0,0,0,0
1991,710,171,10,181,18,61,79,0,0,0,3,2,5
1991,711,40,0,40,2,11,13,0,0,0,0,0,0
1991,712,70,6,76,4,25,29,0,0,0,0,0,0
1991,713,9,2,11,0,0,0,0,0,0,0,0,0
1991,714,41,2,43,2,11,13,0,0,0,0,0,0
1991,716,11,1,12,0,1,1,0,0,0,0,0,0
1991,721,18,3,21,2,3,5,0,0,0,0,0,0
1991,800,21,2,23,0,4,4,0,0,0,0,0,0
1991,801,12,1,13,0,1,1,0,0,0,0,0,0
1991,900,122,4,126,3,28,31,14,3,17,45,42,87
1991,901,21,0,21,1,4,5,0,0,0,0,0,0
1991,902,51,3,54,3,18,21,0,0,0,0,0,0
1991,1000,302,19,321,59,88,147,0,0,0,0,0,0
1991,1001,62,5,67,5,26,31,0,0,0,0,0,0
1991,1002,15,0,15,1,5,6,0,0,0,0,0,0
1991,1003,7,1,8,0,5,5,0,0,0,0,0,0
1991,1004,5,0,5,0,0,0,0,0,0,0,0,0
1991,1005,389,31,420,53,171,224,0,0,0,0,0,0
1991,1006,3,0,3,1,4,5,0,0,0,0,0,0
1991,1007,10,1,11,1,2,3,0,0,0,0,0,0
1991,1008,11,0,11,0,4,4,0,0,0,0,0,0
1991,1012,20,3,23,4,5,9,0,0,0,0,0,0
1991,1013,22,2,24,0,6,6,0,0,0,0,0,0
1991,1015,19,3,22,1,10,11,0,0,0,0,0,0
1991,1017,10,1,11,0,2,2,0,0,0,0,0,0
1991,1097,13,4,17,3,7,10,0,0,0,0,0,0
1991,1100,24,0,24,1,9,10,0,0,0,0,0,0
1991,1101,9,0,9,0,1,1,0,0,0,0,0,0
1991,1102,9,0,9,0,1,1,0,0,0,0,0,0
1991,1200,83,4,87,2,25,27,0,0,0,0,0,0
1991,1201,20,0,20,1,6,7,0,0,0,0,0,0
1991,1202,2,0,2,0,0,0,0,0,0,0,0,0
1991,1203,37,4,41,2,14,16,0,0,0,0,0,0
1991,1204,2,1,3,0,0,0,0,0,0,0,0,0
1991,1205,14,1,15,1,5,6,0,0,0,0,0,0
1991,1206,3,1,4,0,0,0,0,0,0,0,0,0
1991,1207,4,0,4,0,0,0,0,0,0,0,0,0
1991,1208,10,0,10,5,0,5,0,0,0,0,0,0
1991,1300,65,5,70,2,34,36,53,6,59,25,32,57
1991,1301,26,1,27,0,9,9,0,0,0,0,0,0
1991,1302,23,3,26,8,10,18,0,0,0,0,0,0
1991,1303,4,0,4,0,1,1,0,0,0,0,0,0
1991,1304,44,2,46,9,15,24,0,0,0,0,0,0
1991,1305,9,0,9,3,1,4,0,0,0,0,0,0
1991,1306,9,1,10,1,1,2,0,0,0,0,0,0
1991,1307,5,0,5,0,0,0,0,0,0,0,0,0
1991,1400,25,1,26,0,9,9,11,2,13,3,0,3
1991,1401,14,0,14,0,8,8,0,0,0,0,0,0
1991,1500,281,20,301,25,120,145,189,36,225,87,137,224
1991,1501,11,0,11,0,6,6,0,0,0,0,0,0
1991,1502,239,8,247,10,75,85,0,0,0,0,0,0
1991,1503,31,4,35,0,11,11,0,0,0,4,1,5
1991,1505,5,0,5,1,5,6,0,0,0,0,0,0
1991,1506,34,2,36,2,14,16,0,0,0,0,0,0
1991,1507,11,1,12,0,5,5,0,0,0,0,0,0
1991,1508,14,0,14,0,5,5,0,0,0,0,0,0
1991,1511,11,1,12,1,4,5,0,0,0,0,0,0
1991,1513,39,7,46,2,6,8,0,0,0,0,0,0
1991,1514,3,0,3,0,0,0,0,0,0,0,0,0
1991,1515,5,0,5,1,11,12,0,0,0,0,0,0
1991,1597,10,0,10,1,3,4,0,0,0,0,0,0
1991,1600,69,2,71,3,39,42,0,0,0,0,0,0
1991,1601,14,1,15,1,4,5,0,0,0,0,0,0
1991,1602,34,2,36,1,12,13,0,0,0,0,0,0
1991,1603,19,1,20,1,5,6,0,0,0,0,0,0
1991,1700,54,3,57,5,22,27,0,0,0,0,0,0
1991,1701,12,0,12,0,2,2,0,0,0,0,0,0
1991,1702,18,0,18,1,6,7,0,0,0,0,0,0
1991,1800,20,1,21,0,9,9,2,0,2,30,22,52
1991,1801,13,1,14,0,1,1,0,0,0,0,0,0
1991,1900,4696,620,5316,611,1666,2277,0,0,0,0,0,0
1991,1901,90,6,96,12,49,61,0,0,0,3,3,6
1991,1902,71,6,77,4,13,17,0,0,0,1,3,4
1991,1905,51,2,53,2,16,18,0,0,0,4,0,4
1991,1906,58,2,60,2,18,20,0,0,0,0,0,0
1991,1907,39,1,40,2,14,16,0,0,0,0,0,0
1991,1909,47,5,52,1,19,20,0,0,0,0,0,0
1991,1910,123,5,128,19,37,56,0,0,0,6,4,10
1991,1912,134,7,141,21,56,77,1,0,1,7,3,10
1991,1913,37,2,39,2,12,14,0,0,0,4,1,5
1991,1915,117,8,125,15,46,61,0,0,0,5,0,5
1991,1916,50,1,51,4,25,29,0,0,0,3,0,3
1991,1918,107,9,116,8,27,35,0,0,0,2,0,2
1991,1920,120,4,124,4,29,33,0,0,0,0,0,0
1991,1922,100,10,110,12,18,30,0,0,0,5,0,5
1991,1923,58,7,65,2,13,15,0,0,0,3,3,6
1991,1924,85,8,93,5,16,21,0,0,0,4,3,7
1991,1925,191,24,215,18,71,89,0,0,0,7,5,12
1991,1926,48,5,53,3,17,20,0,0,0,3,2,5
1991,1928,84,6,90,5,35,40,0,0,0,6,0,6
1991,1929,37,3,40,2,12,14,0,0,0,2,4,6
1991,1931,65,2,67,5,24,29,0,0,0,3,2,5
1991,1933,186,13,199,19,64,83,0,0,0,5,6,11
1991,1934,21,0,21,0,5,5,0,0,0,0,0,0
1991,1938,37,2,39,3,11,14,0,0,0,1,0,1
1991,1941,599,57,656,81,204,285,7,1,8,41,19,60
1991,1942,7054,1101,8155,570,1547,2117,42,1,43,426,123,549
1991,1944,52,6,58,2,10,12,0,0,0,3,1,4
1991,1945,23,0,23,4,6,10,0,0,0,0,0,0
1991,1946,54,3,57,0,20,20,0,0,0,1,1,2
1991,1947,85,5,90,4,29,33,0,0,0,0,0,0
1991,1948,68,7,75,3,33,36,0,0,0,6,0,6
1991,1951,21,2,23,0,1,1,0,0,0,2,5,7
1991,1953,196,22,218,34,80,114,2,0,2,9,6,15
1991,1955,155,7,162,11,76,87,0,0,0,12,7,19
1991,1956,99,5,104,10,47,57,0,0,0,1,8,9
1991,1961,33,1,34,4,12,16,0,0,0,0,0,0
1991,1962,47,3,50,3,8,11,0,0,0,0,0,0
1991,1963,21,3,24,0,6,6,0,0,0,0,0,0
1991,1965,150,25,175,41,79,120,0,0,0,7,6,13
1991,1966,13,2,15,4,1,5,0,0,0,0,0,0
1991,1967,29,3,32,1,5,6,0,0,0,4,2,6
1991,1969,89,2,91,5,25,30,0,0,0,4,1,5
1991,1970,27,2,29,4,11,15,0,0,0,4,0,4
1991,1972,231,7,238,10,54,64,0,0,0,8,6,14
1991,1973,50,2,52,2,15,17,0,0,0,0,0,0
1991,1975,107,7,114,5,33,38,0,0,0,4,2,6
1991,1976,88,2,90,2,27,29,0,0,0,6,0,6
1991,1978,9,3,12,4,11,15,0,0,0,0,0,0
1991,1981,9,1,10,4,5,9,0,0,0,0,0,0
1991,1982,14,4,18,3,3,6,0,0,0,0,0,0
1991,1983,17,2,19,5,11,16,0,0,0,0,0,0
1991,1984,16,2,18,7,10,17,0,0,0,0,0,0
1991,1997,55,9,64,8,9,17,0,0,0,0,0,0
1991,2000,56,2,58,2,16,18,0,0,0,0,0,0
1991,2001,13,0,13,1,5,6,0,0,0,0,0,0
1991,2002,39,2,41,2,10,12,0,0,0,0,0,0
1991,2100,96,14,110,13,48,61,50,16,66,7,11,18
1991,2101,7,0,7,0,0,0,0,0,0,0,0,0
1991,2103,9,3,12,1,4,5,0,0,0,0,0,0
1991,2104,30,2,32,1,8,9,0,0,0,0,0,0
1991,2105,22,0,22,1,6,7,0,0,0,0,0,0
1991,2106,46,3,49,2,17,19,0,0,0,0,0,0
1991,2107,7,0,7,0,0,0,0,0,0,0,0,0
1991,2108,15,1,16,0,6,6,0,0,0,0,0,0
1991,2109,67,6,73,3,26,29,0,0,0,0,0,0
1991,2110,22,1,23,2,9,11,0,0,0,0,0,0
1991,2111,13,2,15,2,4,6,0,0,0,0,0,0
1991,2113,9,0,9,0,0,0,0,0,0,0,0,0
1991,2200,27,2,29,1,1,2,6,6,12,0,2,2
1991,2300,60,2,62,2,16,18,0,0,0,0,0,0
1991,2301,17,1,18,0,8,8,0,0,0,3,2,5
1991,2303,22,0,22,1,6,7,0,0,0,0,0,0
1991,2304,10,0,10,0,6,6,0,0,0,0,0,0
1991,2400,70,2,72,4,16,20,0,0,0,0,0,0
1991,2401,22,1,23,1,5,6,0,0,0,0,0,0
1991,2402,7,0,7,0,0,0,0,0,0,0,0,0
1991,2403,7,1,8,0,2,2,0,0,0,0,0,0
1991,2404,13,0,13,1,4,5,0,0,0,0,0,0
1991,2405,22,2,24,1,12,13,0,0,0,0,0,0
1991,2406,72,3,75,5,29,34,0,0,0,0,0,0
1991,2409,2,0,2,1,0,1,0,0,0,0,0,0
1991,2500,8,1,9,0,0,0,0,0,0,0,0,0
1991,2501,8,0,8,0,1,1,0,0,0,0,0,0
1991,2600,22,1,23,0,2,2,0,0,0,0,0,0
1991,2601,14,1,15,0,3,3,0,0,0,0,0,0
1991,2700,144,8,152,8,56,64,106,27,133,7,20,27
1991,2701,18,1,19,3,8,11,0,0,0,0,0,0
1991,2702,5,0,5,0,0,0,0,0,0,0,0,0
1991,2703,9,0,9,0,1,1,0,0,0,0,0,0
1991,2704,11,0,11,0,1,1,0,0,0,0,0,0
1991,2705,14,0,14,1,4,5,0,0,0,0,0,0
1991,2706,50,2,52,2,5,7,0,0,0,6,5,11
1991,2707,27,2,29,4,7,11,0,0,0,0,0,0
1991,2708,131,4,135,12,35,47,0,0,0,0,0,0
1991,2709,4,0,4,0,0,0,0,0,0,0,0,0
1991,2710,31,2,33,3,7,10,0,0,0,0,0,0
1991,2711,10,0,10,0,2,2,0,0,0,0,0,0
1991,2712,24,2,26,1,4,5,0,0,0,0,0,0
1991,2714,10,0,10,0,0,0,0,0,0,0,0,0
1991,2800,65,3,68,1,17,18,0,0,0,0,0,0
1991,2801,8,1,9,2,2,4,0,0,0,0,0,0
1991,2802,67,4,71,8,30,38,0,0,0,0,0,0
1991,2803,11,1,12,1,3,4,0,0,0,0,0,0
1991,2900,62,4,66,1,31,32,0,0,0,0,0,0
1991,2901,19,0,19,2,6,8,0,0,0,0,0,0
1991,2902,8,0,8,0,2,2,0,0,0,0,0,0
1991,3000,556,57,613,201,322,523,513,95,608,209,175,384
1991,3001,326,21,347,31,115,146,1,0,1,16,14,30
1991,3002,97,6,103,1,23,24,0,0,0,0,0,0
1991,3003,88,1,89,10,38,48,0,0,0,3,0,3
1991,3004,129,9,138,11,37,48,0,0,0,6,0,6
1991,3005,49,4,53,2,22,24,0,0,0,3,0,3
1991,3006,23,1,24,0,6,6,0,0,0,0,0,0
1991,3007,55,6,61,6,17,23,0,0,0,0,0,0
1991,3008,140,10,150,5,61,66,0,0,0,5,0,5
1991,3009,158,7,165,6,59,65,0,0,0,0,0,0
1991,3010,217,7,224,31,90,121,1,0,1,10,6,16
1991,3011,41,6,47,2,31,33,0,0,0,0,0,0
1991,3012,58,3,61,3,24,27,0,0,0,0,0,0
1991,3013,24,1,25,3,3,6,0,0,0,0,0,0
1991,3014,144,7,151,14,47,61,0,0,0,5,2,7
1991,3015,142,8,150,13,60,73,0,0,0,0,0,0
1991,3016,49,2,51,3,13,16,0,0,0,0,0,0
1991,3017,43,6,49,2,18,20,0,0,0,0,0,0
1991,3019,384,15,399,33,165,198,0,0,0,0,0,0
1991,3020,34,3,37,0,15,15,0,0,0,0,0,0
1991,3022,80,4,84,4,30,34,0,0,0,0,0,0
1991,3024,98,3,101,5,45,50,0,0,0,0,0,0
1991,3026,120,10,130,9,49,58,0,0,0,4,0,4
1991,3027,12,1,13,1,6,7,0,0,0,0,0,0
1991,3091,234,37,271,29,86,115,0,0,0,0,0,0
1991,3097,22,3,25,20,14,34,0,0,0,0,0,0
1991,3100,116,10,126,3,59,62,71,7,78,22,19,41
1991,3101,19,1,20,0,7,7,0,0,0,0,0,0
1991,3102,6,0,6,0,1,1,0,0,0,0,0,0
1991,3103,11,2,13,0,7,7,0,0,0,0,0,0
1991,3104,27,2,29,4,9,13,0,0,0,0,0,0
1991,3105,56,2,58,5,31,36,0,0,0,5,3,8
1991,3200,36,0,36,2,11,13,0,0,0,9,5,14
1991,3300,712,86,798,70,328,398,216,47,263,283,137,420
1991,3301,28,3,31,4,14,18,0,0,0,0,0,0
1991,3302,19,1,20,4,7,11,0,0,0,0,0,0
1991,3303,17,0,17,1,8,9,0,0,0,0,0,0
1991,3305,19,0,19,1,7,8,0,0,0,0,0,0
1991,3308,45,4,49,5,14,19,0,0,0,0,0,0
1991,3309,45,0,45,5,21,26,0,0,0,0,0,0
1991,3311,79,5,84,12,24,36,0,0,0,4,2,6
1991,3312,31,4,35,1,17,18,0,0,0,0,0,0
1991,3313,274,22,296,26,105,131,0,0,0,0,0,0
1991,3314,23,0,23,3,8,11,0,0,0,0,0,0
1991,3315,103,11,114,9,56,65,0,0,0,0,0,0
1991,3325,37,2,39,5,16,21,0,0,0,0,0,0
1991,3397,15,1,16,2,4,6,0,0,0,0,0,0
1991,3400,633,91,724,76,198,274,325,100,425,77,88,165
1991,3401,33,1,34,0,9,9,0,0,0,0,0,0
1991,3402,15,1,16,1,7,8,0,0,0,0,0,0
1991,3403,7,1,8,0,0,0,0,0,0,0,0,0
1991,3404,556,60,616,77,226,303,0,0,0,0,0,0
1991,3408,12,1,13,1,5,6,0,0,0,0,0,0
1991,3420,2,0,2,0,1,1,0,0,0,0,0,0
1991,3498,299,35,334,25,48,73,0,0,0,0,0,0
1991,3499,5533,508,6041,981,1465,2446,0,0,0,0,0,0
1991,3500,19,1,20,1,4,5,1,0,1,8,7,15
1991,3501,20,2,22,1,3,4,0,0,0,0,0,0
1991,3502,4,0,4,0,0,0,0,0,0,0,0,0
1991,3600,787,133,920,93,302,395,321,86,407,121,195,316
1991,3601,34,1,35,1,13,14,0,0,0,0,0,0
1991,3602,78,2,80,7,36,43,0,0,0,0,0,0
1991,3603,60,2,62,4,23,27,0,0,0,0,0,0
1991,3604,100,4,104,10,56,66,0,0,0,0,0,0
1991,3605,49,3,52,1,20,21,0,0,0,0,0,0
1991,3607,164,8,172,16,47,63,0,0,0,0,0,0
1991,3608,68,2,70,7,17,24,0,0,0,0,0,0
1991,3609,86,7,93,5,39,44,0,0,0,0,0,0
1991,3610,219,16,235,28,87,115,0,0,0,0,0,0
1991,3611,76,3,79,5,26,31,0,0,0,0,0,0
1991,3613,14,1,15,2,6,8,0,0,0,0,0,0
1991,3614,10,0,10,1,4,5,0,0,0,0,0,0
1991,3700,630,113,743,69,331,400,608,125,733,234,263,497
1991,3701,77,4,81,9,19,28,0,0,0,0,0,0
1991,3702,135,14,149,24,56,80,0,0,0,0,0,0
1991,3703,37,4,41,5,11,16,0,0,0,0,0,0
1991,3705,123,9,132,16,62,78,0,0,0,0,0,0
1991,3706,128,8,136,14,51,65,0,0,0,0,0,0
1991,3708,54,5,59,3,19,22,0,0,0,0,0,0
1991,3709,74,3,77,5,28,33,0,0,0,0,0,0
1991,3710,164,16,180,16,70,86,0,0,0,0,0,0
1991,3711,1650,236,1886,227,495,722,0,0,0,0,0,0
1991,3714,21,2,23,3,9,12,0,0,0,0,0,0
1991,3797,25,4,29,15,6,21,0,0,0,0,0,0
1991,3800,92,30,122,25,17,42,241,89,330,31,10,41
1991,3801,1623,217,1840,168,308,476,0,0,0,0,0,0
1991,3803,14,2,16,7,5,12,0,0,0,0,0,0
1991,3897,20,5,25,27,20,47,0,0,0,0,0,0
1991,3900,202,15,217,17,70,87,193,60,253,18,58,76
1991,3901,8,0,8,1,4,5,0,0,0,0,0,0
1991,3902,66,3,69,1,17,18,0,0,0,2,14,16
1991,3903,43,3,46,8,15,23,0,0,0,0,0,0
1991,3904,11,2,13,2,4,6,0,0,0,0,0,0
1991,3905,266,22,288,46,114,160,0,0,0,0,0,0
1991,3906,40,2,42,4,10,14,0,0,0,0,0,0
1991,4000,121,4,125,4,47,51,2,0,2,71,33,104
1991,4001,20,2,22,1,8,9,0,0,0,0,0,0
1991,4002,16,1,17,1,8,9,0,0,0,0,0,0
1991,4003,16,1,17,0,8,8,0,0,0,0,0,0
1991,4004,29,2,31,1,6,7,0,0,0,0,0,0
1991,4005,19,1,20,0,11,11,0,0,0,0,0,0
1991,4006,51,3,54,7,20,27,0,0,0,0,0,0
1991,4007,12,2,14,1,14,15,0,0,0,0,0,0
1991,4008,24,4,28,2,7,9,0,0,0,0,0,0
1991,4100,196,15,211,25,44,69,108,9,117,37,38,75
1991,4101,18,1,19,2,3,5,0,0,0,0,0,0
1991,4102,26,3,29,6,10,16,0,0,0,0,0,0
1991,4103,11,4,15,3,2,5,0,0,0,0,0,0
1991,4104,44,2,46,4,15,19,0,0,0,0,0,0
1991,4105,11,1,12,0,4,4,0,0,0,0,0,0
1991,4106,97,7,104,6,32,38,0,0,0,0,0,0
1991,4107,12,1,13,0,2,2,0,0,0,0,0,0
1991,4108,24,3,27,1,6,7,0,0,0,0,0,0
1991,4109,37,5,42,3,19,22,0,0,0,0,0,0
1991,4110,23,1,24,0,8,8,0,0,0,0,0,0
1991,4111,42,1,43,2,11,13,0,0,0,0,0,0
1991,4113,70,5,75,10,27,37,0,0,0,0,0,0
1991,4114,45,2,47,1,10,11,0,0,0,0,0,0
1991,4115,33,2,35,2,9,11,0,0,0,0,0,0
1991,4116,93,9,102,3,39,42,0,0,0,0,0,0
1991,4117,68,7,75,6,33,39,0,0,0,0,0,0
1991,4119,8,0,8,1,0,1,0,0,0,0,0,0
1991,4120,37,5,42,5,11,16,0,0,0,0,0,0
1991,4127,32,3,35,0,3,3,0,0,0,0,0,0
1991,4200,200,11,211,29,67,96,0,0,0,0,0,0
1991,4201,6,2,8,0,1,1,0,0,0,0,0,0
1991,4202,38,2,40,3,6,9,0,0,0,5,6,11
1991,4203,130,8,138,19,62,81,0,0,0,0,0,0
1991,4204,70,5,75,0,23,23,0,0,0,0,0,0
1991,4205,19,0,19,1,5,6,0,0,0,0,0,0
1991,4297,21,4,25,5,6,11,0,0,0,0,0,0
1991,4300,355,63,418,22,99,121,0,0,0,0,0,0
1991,4302,38,3,41,0,14,14,0,0,0,0,0,0
1991,4304,40,3,43,5,17,22,0,0,0,2,2,4
1991,4305,27,2,29,4,11,15,0,0,0,0,0,0
1991,4307,41,2,43,10,15,25,0,0,0,0,0,0
1991,4308,65,9,74,8,20,28,0,0,0,0,0,0
1991,4310,30,2,32,0,13,13,0,0,0,0,0,0
1991,4311,77,5,82,4,31,35,0,0,0,0,0,0
1991,4312,74,17,91,28,46,74,0,0,0,0,0,0
1991,4313,1093,77,1170,116,349,465,0,0,0,0,0,0
1991,4314,141,5,146,3,33,36,0,0,0,0,0,0
1991,4316,116,2,118,23,39,62,0,0,0,0,0,0
1991,4317,25,1,26,16,13,29,0,0,0,0,0,0
1991,4320,8,0,8,4,6,10,0,0,0,0,0,0
1991,4321,7,1,8,0,1,1,0,0,0,0,0,0
1991,4327,6,0,6,0,1,1,0,0,0,0,0,0
1991,4400,99,4,103,2,31,33,0,0,0,0,0,0
1991,4401,23,0,23,2,9,11,0,0,0,0,0,0
1991,4402,71,6,77,3,32,35,0,0,0,0,0,0
1991,4403,51,1,52,2,17,19,0,0,0,0,0,0
1991,4404,16,1,17,1,7,8,0,0,0,0,0,0
1991,4405,3,2,5,1,2,3,0,0,0,0,0,0
1991,4497,11,4,15,5,5,10,0,0,0,0,0,0
1991,4500,68,8,76,5,41,46,58,22,80,12,19,31
1991,4501,15,0,15,2,7,9,0,0,0,0,0,0
1991,4502,93,1,94,9,56,65,0,0,0,0,0,0
1991,4600,9,1,10,0,0,0,0,0,0,1,3,4
1991,4700,43,1,44,1,12,13,0,0,0,0,0,0
1991,4701,2,0,2,1,2,3,0,0,0,0,0,0
1991,4702,4,1,5,0,1,1,0,0,0,0,0,0
1991,4703,1,0,1,0,0,0,0,0,0,0,0,0
1991,4706,9,0,9,2,3,5,0,0,0,0,0,0
1991,4707,3,0,3,0,0,0,0,0,0,0,0,0
1991,4708,9,0,9,1,3,4,0,0,0,0,0,0
1991,4709,14,0,14,5,2,7,0,0,0,0,0,0
1991,4710,3,0,3,0,1,1,0,0,0,0,0,0
1991,4800,90,3,93,22,45,67,3,0,3,154,71,225
1991,4801,32,1,33,3,12,15,0,0,0,0,0,0
1991,4802,14,1,15,0,3,3,0,0,0,0,0,0
1991,4803,79,7,86,11,41,52,0,0,0,0,0,0
1991,4804,6,0,6,0,1,1,0,0,0,0,0,0
1991,4805,23,1,24,3,9,12,0,0,0,0,0,0
1991,4806,65,5,70,3,38,41,0,0,0,0,0,0
1991,4807,128,9,137,10,54,64,0,0,0,0,0,0
1991,4900,199,6,205,13,78,91,0,0,0,0,0,0
1991,4901,9,1,10,0,5,5,0,0,0,0,0,0
1991,4902,11,2,13,2,5,7,0,0,0,0,0,0
1991,4903,17,0,17,1,9,10,0,0,0,0,0,0
1991,4904,46,2,48,8,19,27,0,0,0,0,0,0
1991,4905,131,9,140,13,52,65,0,0,0,0,0,0
1991,4906,14,0,14,1,4,5,0,0,0,0,0,0
1991,4907,13,1,14,1,7,8,0,0,0,0,0,0
1991,4908,51,3,54,1,24,25,0,0,0,0,0,0
1991,4909,8,1,9,0,8,8,0,0,0,0,0,0
1991,4914,6,1,7,0,1,1,0,0,0,0,0,0
1991,5000,130,5,135,5,46,51,5,0,5,117,61,178
1991,5001,33,1,34,5,15,20,0,0,0,0,0,0
1991,5002,197,5,202,19,66,85,0,0,0,0,0,0
1991,5003,8,0,8,0,1,1,0,0,0,0,0,0
1991,5004,21,0,21,3,5,8,0,0,0,0,0,0
1991,5005,16,0,16,1,3,4,0,0,0,0,0,0
1991,5006,15,1,16,2,3,5,0,0,0,0,0,0
1991,5007,53,2,55,5,23,28,0,0,0,0,0,0
1991,5008,8,0,8,1,1,2,0,0,0,0,0,0
1991,5009,6,0,6,2,1,3,0,0,0,0,0,0
1991,5010,8,1,9,2,5,7,0,0,0,0,0,0
1991,5100,54,4,58,5,20,25,18,8,26,2,1,3
1991,5102,36,2,38,5,12,17,0,0,0,0,0,0
1991,5200,42,2,44,2,18,20,14,2,16,1,2,3
1991,5201,14,0,14,0,6,6,0,0,0,0,0,0
1991,5202,20,1,21,1,10,11,0,0,0,0,0,0
1991,5300,24,0,24,0,6,6,0,0,0,0,0,0
1991,5400,155,12,167,3,50,53,147,22,169,25,9,34
1991,5401,18,0,18,1,6,7,0,0,0,0,0,0
1991,5402,12,0,12,0,1,1,0,0,0,0,0,0
1991,5403,10,0,10,0,1,1,0,0,0,0,0,0
1991,5404,12,2,14,5,3,8,0,0,0,0,0,0
1991,5405,36,4,40,5,19,24,0,0,0,0,0,0
1991,5406,38,3,41,3,24,27,0,0,0,0,0,0
1991,5407,74,9,83,6,35,41,0,0,0,0,0,0
1991,5408,8,0,8,0,1,1,0,0,0,0,0,0
1991,5411,3,0,3,0,1,1,0,0,0,0,0,0
1991,5500,50,0,50,3,18,21,0,0,0,0,0,0
1991,5501,12,0,12,0,4,4,0,0,0,0,0,0
1991,5600,400,44,444,33,107,140,134,23,157,114,90,204
1991,5604,135,6,141,17,52,69,0,0,0,5,3,8
1991,5605,19,1,20,0,8,8,0,0,0,0,0,0
1991,5606,27,2,29,0,6,6,0,0,0,0,0,0
1991,5608,111,10,121,7,60,67,0,0,0,0,0,0
1991,5609,107,3,110,8,39,47,0,0,0,0,0,0
1991,5700,42,6,48,10,22,32,27,2,29,48,45,93
1991,5701,45,7,52,3,17,20,0,0,0,0,0,0
1991,5702,8,1,9,0,1,1,0,0,0,0,0,0
1991,5703,46,7,53,4,14,18,0,0,0,0,0,0
1991,5704,53,5,58,2,26,28,0,0,0,0,0,0
1991,5797,42,5,47,11,22,33,0,0,0,0,0,0
1991,5800,43,4,47,1,16,17,0,0,0,0,0,0
1991,5801,23,0,23,2,9,11,0,0,0,0,0,0
1991,5802,6,0,6,0,1,1,0,0,0,0,0,0
1991,190P,8,1,9,3,1,4,0,0,0,0,0,0
1991,190R,9,0,9,1,9,10,0,0,0,0,0,0
1992,100,304,40,344,88,140,228,336,69,405,104,157,261
1992,101,89,5,94,5,30,35,0,0,0,4,5,9
